"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 19:24:24 GMT 2024","Fri Aug 23 19:24:24 GMT 2024","207","","","","","","/ping",""
"passed","Fri Aug 23 19:24:24 GMT 2024","Fri Aug 23 19:24:25 GMT 2024","45","","","","","","PUT_post",""
"failed","Fri Aug 23 19:24:25 GMT 2024","Fri Aug 23 19:24:25 GMT 2024","44","","","","","","PATCH_post_failed",""
"passed","Fri Aug 23 19:24:24 GMT 2024","Fri Aug 23 19:24:24 GMT 2024","51","","","","","","auth",""
"passed","Fri Aug 23 19:24:25 GMT 2024","Fri Aug 23 19:24:25 GMT 2024","43","","","","","","DELETE_post",""
"passed","Fri Aug 23 19:24:24 GMT 2024","Fri Aug 23 19:24:24 GMT 2024","43","","","","","","create_booking_post",""
"failed","Fri Aug 23 19:24:25 GMT 2024","Fri Aug 23 19:24:25 GMT 2024","49","","","","","","PATCH_post",""
"passed","Fri Aug 23 19:24:25 GMT 2024","Fri Aug 23 19:24:25 GMT 2024","41","","","","","","GET_modified_post",""
