"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 17:44:40 GMT 2024","Mon Aug 26 17:44:40 GMT 2024","440","","","","","","/ping",""
"passed","Mon Aug 26 17:44:41 GMT 2024","Mon Aug 26 17:44:41 GMT 2024","83","","","","","","PUT_post",""
"failed","Mon Aug 26 17:44:41 GMT 2024","Mon Aug 26 17:44:41 GMT 2024","89","","","","","","PATCH_post",""
"passed","Mon Aug 26 17:44:41 GMT 2024","Mon Aug 26 17:44:41 GMT 2024","83","","","","","","create_booking_post",""
"passed","Mon Aug 26 17:44:41 GMT 2024","Mon Aug 26 17:44:41 GMT 2024","82","","","","","","DELETE_post",""
"passed","Mon Aug 26 17:44:40 GMT 2024","Mon Aug 26 17:44:41 GMT 2024","86","","","","","","auth",""
"passed","Mon Aug 26 17:44:41 GMT 2024","Mon Aug 26 17:44:41 GMT 2024","79","","","","","","GET_modified_post",""
"failed","Mon Aug 26 17:44:41 GMT 2024","Mon Aug 26 17:44:41 GMT 2024","81","","","","","","PATCH_post_failed",""
