"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 23 19:09:38 GMT 2024","Fri Aug 23 19:09:38 GMT 2024","39","","","","","","PATCH_post_failed",""
"passed","Fri Aug 23 19:09:38 GMT 2024","Fri Aug 23 19:09:38 GMT 2024","36","","","","","","GET_modified_post",""
"passed","Fri Aug 23 19:09:37 GMT 2024","Fri Aug 23 19:09:37 GMT 2024","211","","","","","","/ping",""
"failed","Fri Aug 23 19:09:38 GMT 2024","Fri Aug 23 19:09:38 GMT 2024","43","","","","","","PATCH_post",""
"passed","Fri Aug 23 19:09:38 GMT 2024","Fri Aug 23 19:09:38 GMT 2024","49","","","","","","PUT_post",""
"passed","Fri Aug 23 19:09:37 GMT 2024","Fri Aug 23 19:09:38 GMT 2024","40","","","","","","create_booking_post",""
"passed","Fri Aug 23 19:09:37 GMT 2024","Fri Aug 23 19:09:37 GMT 2024","43","","","","","","auth",""
"passed","Fri Aug 23 19:09:38 GMT 2024","Fri Aug 23 19:09:38 GMT 2024","39","","","","","","DELETE_post",""
